index,overall,nationality,value_eur,fifa_jaar,soort,bestfit
83,83,Argentina,14500000,2015,Overall,19252168.333250836
0,93,Argentina,100500000,2015,Overall,54000288.475818016
225,80,Argentina,12500000,2015,Overall,8827732.29048068
114,82,Argentina,13000000,2015,Overall,15777356.318994116
116,82,Argentina,14500000,2015,Overall,15777356.318994116
138,82,Argentina,18000000,2015,Overall,15777356.318994116
311,79,Argentina,8500000,2015,Overall,5352920.276223963
310,79,Argentina,7500000,2015,Overall,5352920.276223963
301,79,Argentina,6500000,2015,Overall,5352920.276223963
266,79,Argentina,5500000,2015,Overall,5352920.276223963
263,79,Argentina,6500000,2015,Overall,5352920.276223963
260,79,Argentina,3400000,2015,Overall,5352920.276223963
255,79,Argentina,4500000,2015,Overall,5352920.276223963
242,80,Argentina,11000000,2015,Overall,8827732.29048068
236,80,Argentina,11000000,2015,Overall,8827732.29048068
233,80,Argentina,10500000,2015,Overall,8827732.29048068
110,82,Argentina,12500000,2015,Overall,15777356.318994116
71,83,Argentina,11500000,2015,Overall,19252168.333250836
227,80,Argentina,10500000,2015,Overall,8827732.29048068
23,86,Argentina,45500000,2015,Overall,29676604.37602099
26,86,Argentina,45500000,2015,Overall,29676604.37602099
33,85,Argentina,21000000,2015,Overall,26201792.36176427
57,84,Argentina,27000000,2015,Overall,22726980.34750755
128,82,Belgium,16000000,2015,Overall,15777356.318994116
126,82,Belgium,14500000,2015,Overall,15777356.318994116
30,86,Belgium,27000000,2015,Overall,29676604.37602099
130,82,Belgium,18500000,2015,Overall,15777356.318994116
11,88,Belgium,40500000,2015,Overall,36626228.40453443
583,75,Belgium,2900000,2015,Overall,-8546327.78080291
238,80,Belgium,10500000,2015,Overall,8827732.29048068
600,75,Belgium,3300000,2015,Overall,-8546327.78080291
604,75,Belgium,2700000,2015,Overall,-8546327.78080291
421,77,Belgium,5500000,2015,Overall,-1596703.7522894735
357,78,Belgium,7500000,2015,Overall,1878108.2619672446
22,86,Belgium,31500000,2015,Overall,29676604.37602099
389,77,Belgium,4200000,2015,Overall,-1596703.7522894735
193,81,Belgium,12000000,2015,Overall,12302544.304737398
288,79,Belgium,7500000,2015,Overall,5352920.276223963
218,80,Belgium,12500000,2015,Overall,8827732.29048068
221,80,Belgium,12000000,2015,Overall,8827732.29048068
272,79,Belgium,6500000,2015,Overall,5352920.276223963
472,76,Belgium,6000000,2015,Overall,-5071515.766546192
518,76,Belgium,5000000,2015,Overall,-5071515.766546192
216,80,Belgium,12500000,2015,Overall,8827732.29048068
290,79,Belgium,9000000,2015,Overall,5352920.276223963
229,80,Belgium,12000000,2015,Overall,8827732.29048068
174,81,Brazil,11500000,2015,Overall,12302544.304737398
180,81,Brazil,10500000,2015,Overall,12302544.304737398
63,84,Brazil,21000000,2015,Overall,22726980.34750755
108,82,Brazil,9000000,2015,Overall,15777356.318994116
105,82,Brazil,10500000,2015,Overall,15777356.318994116
115,82,Brazil,11500000,2015,Overall,15777356.318994116
189,81,Brazil,10000000,2015,Overall,12302544.304737398
95,83,Brazil,18500000,2015,Overall,19252168.333250836
109,82,Brazil,16000000,2015,Overall,15777356.318994116
81,83,Brazil,12500000,2015,Overall,19252168.333250836
14,87,Brazil,29000000,2015,Overall,33151416.390277706
121,82,Brazil,13500000,2015,Overall,15777356.318994116
150,82,Brazil,15000000,2015,Overall,15777356.318994116
139,82,Brazil,15000000,2015,Overall,15777356.318994116
29,86,Brazil,31000000,2015,Overall,29676604.37602099
135,82,Brazil,14500000,2015,Overall,15777356.318994116
133,82,Brazil,14500000,2015,Overall,15777356.318994116
161,81,Brazil,6500000,2015,Overall,12302544.304737398
162,81,Brazil,10500000,2015,Overall,12302544.304737398
134,82,Brazil,17000000,2015,Overall,15777356.318994116
131,82,Brazil,16000000,2015,Overall,15777356.318994116
166,81,Brazil,4900000,2015,Overall,12302544.304737398
73,83,Brazil,10000000,2015,Overall,19252168.333250836
65,83,England,7000000,2015,Overall,19252168.333250836
270,79,England,8000000,2015,Overall,5352920.276223963
253,79,England,5500000,2015,Overall,5352920.276223963
21,86,England,40000000,2015,Overall,29676604.37602099
92,83,England,15000000,2015,Overall,19252168.333250836
172,81,England,12000000,2015,Overall,12302544.304737398
203,80,England,10000000,2015,Overall,8827732.29048068
119,82,England,12500000,2015,Overall,15777356.318994116
171,81,England,9500000,2015,Overall,12302544.304737398
113,82,England,15000000,2015,Overall,15777356.318994116
85,83,England,18500000,2015,Overall,19252168.333250836
157,81,England,4900000,2015,Overall,12302544.304737398
16,87,England,39000000,2015,Overall,33151416.390277706
277,79,England,6000000,2015,Overall,5352920.276223963
102,82,England,3900000,2015,Overall,15777356.318994116
246,80,England,10000000,2015,Overall,8827732.29048068
262,79,England,5000000,2015,Overall,5352920.276223963
257,79,England,5000000,2015,Overall,5352920.276223963
250,79,England,110000,2015,Overall,5352920.276223963
259,79,England,5500000,2015,Overall,5352920.276223963
251,79,England,1200000,2015,Overall,5352920.276223963
190,81,England,9500000,2015,Overall,12302544.304737398
199,80,England,4300000,2015,Overall,8827732.29048068
9,88,France,33000000,2015,Overall,36626228.40453443
205,80,France,8000000,2015,Overall,8827732.29048068
160,81,France,9000000,2015,Overall,12302544.304737398
173,81,France,9500000,2015,Overall,12302544.304737398
99,83,France,13500000,2015,Overall,19252168.333250836
147,82,France,15000000,2015,Overall,15777356.318994116
212,80,France,9500000,2015,Overall,8827732.29048068
84,83,France,14000000,2015,Overall,19252168.333250836
204,80,France,4900000,2015,Overall,8827732.29048068
80,83,France,15000000,2015,Overall,19252168.333250836
211,80,France,7500000,2015,Overall,8827732.29048068
34,85,France,27000000,2015,Overall,26201792.36176427
194,81,France,8000000,2015,Overall,12302544.304737398
181,81,France,11500000,2015,Overall,12302544.304737398
196,81,France,8000000,2015,Overall,12302544.304737398
56,84,France,23000000,2015,Overall,22726980.34750755
176,81,France,11000000,2015,Overall,12302544.304737398
215,80,France,9500000,2015,Overall,8827732.29048068
67,83,France,10500000,2015,Overall,19252168.333250836
214,80,France,9500000,2015,Overall,8827732.29048068
35,85,France,21000000,2015,Overall,26201792.36176427
120,82,France,16000000,2015,Overall,15777356.318994116
187,81,France,10500000,2015,Overall,12302544.304737398
145,82,Germany,11500000,2015,Overall,15777356.318994116
44,85,Germany,21000000,2015,Overall,26201792.36176427
60,84,Germany,19500000,2015,Overall,22726980.34750755
28,86,Germany,39000000,2015,Overall,29676604.37602099
8,88,Germany,39000000,2015,Overall,36626228.40453443
163,81,Germany,10500000,2015,Overall,12302544.304737398
24,86,Germany,44000000,2015,Overall,29676604.37602099
107,82,Germany,16000000,2015,Overall,15777356.318994116
27,86,Germany,40000000,2015,Overall,29676604.37602099
153,81,Germany,1300000,2015,Overall,12302544.304737398
25,86,Germany,35500000,2015,Overall,29676604.37602099
183,81,Germany,10500000,2015,Overall,12302544.304737398
182,81,Germany,12000000,2015,Overall,12302544.304737398
132,82,Germany,16000000,2015,Overall,15777356.318994116
144,82,Germany,11500000,2015,Overall,15777356.318994116
93,83,Germany,15000000,2015,Overall,19252168.333250836
41,85,Germany,23000000,2015,Overall,26201792.36176427
112,82,Germany,17000000,2015,Overall,15777356.318994116
42,85,Germany,21000000,2015,Overall,26201792.36176427
4,90,Germany,63500000,2015,Overall,43575852.43304786
66,83,Germany,12500000,2015,Overall,19252168.333250836
64,83,Germany,11500000,2015,Overall,19252168.333250836
12,87,Germany,24500000,2015,Overall,33151416.390277706
58,84,Italy,21000000,2015,Overall,22726980.34750755
140,82,Italy,16500000,2015,Overall,15777356.318994116
49,84,Italy,17500000,2015,Overall,22726980.34750755
86,83,Italy,15500000,2015,Overall,19252168.333250836
87,83,Italy,18500000,2015,Overall,19252168.333250836
118,82,Italy,18500000,2015,Overall,15777356.318994116
46,84,Italy,6000000,2015,Overall,22726980.34750755
101,82,Italy,7000000,2015,Overall,15777356.318994116
48,84,Italy,14500000,2015,Overall,22726980.34750755
106,82,Italy,9500000,2015,Overall,15777356.318994116
69,83,Italy,7000000,2015,Overall,19252168.333250836
224,80,Italy,14000000,2015,Overall,8827732.29048068
