index,overall,nationality,value_eur,fifa_jaar,soort
196,82,Argentina,15000000,2022,Overall
171,83,Argentina,48000000,2022,Overall
90,85,Argentina,78000000,2022,Overall
159,83,Argentina,37000000,2022,Overall
130,84,Argentina,37000000,2022,Overall
110,84,Argentina,33500000,2022,Overall
166,83,Argentina,39500000,2022,Overall
223,82,Argentina,27500000,2022,Overall
268,81,Argentina,8500000,2022,Overall
241,82,Argentina,41500000,2022,Overall
252,81,Argentina,16500000,2022,Overall
259,81,Argentina,12500000,2022,Overall
275,81,Argentina,28000000,2022,Overall
284,81,Argentina,23500000,2022,Overall
285,81,Argentina,31000000,2022,Overall
294,81,Argentina,35500000,2022,Overall
311,80,Argentina,20500000,2022,Overall
227,82,Argentina,35000000,2022,Overall
67,85,Argentina,33500000,2022,Overall
0,93,Argentina,78000000,2022,Overall
31,87,Argentina,49500000,2022,Overall
39,87,Argentina,93000000,2022,Overall
28,87,Argentina,51000000,2022,Overall
327,80,Belgium,24500000,2022,Overall
427,78,Belgium,15000000,2022,Overall
24,88,Belgium,93500000,2022,Overall
97,84,Belgium,20500000,2022,Overall
4,91,Belgium,125500000,2022,Overall
73,85,Belgium,52000000,2022,Overall
306,80,Belgium,13000000,2022,Overall
143,83,Belgium,0,2022,Overall
350,79,Belgium,11000000,2022,Overall
217,82,Belgium,30500000,2022,Overall
276,81,Belgium,28000000,2022,Overall
138,83,Belgium,24000000,2022,Overall
498,77,Belgium,9500000,2022,Overall
382,79,Belgium,21500000,2022,Overall
423,78,Belgium,11500000,2022,Overall
428,78,Belgium,14000000,2022,Overall
493,77,Belgium,8500000,2022,Overall
12,89,Belgium,85500000,2022,Overall
117,84,Belgium,45000000,2022,Overall
254,81,Belgium,8500000,2022,Overall
52,86,Belgium,52000000,2022,Overall
304,80,Belgium,7000000,2022,Overall
125,84,Belgium,57000000,2022,Overall
199,82,Brazil,30000000,2022,Overall
149,83,Brazil,31500000,2022,Overall
14,89,Brazil,88000000,2022,Overall
145,83,Brazil,28500000,2022,Overall
