,nationality,pace,shooting,passing,dribbling,defending,physic
0,Argentina,76.34782608695652,75.6086956521739,76.82608695652173,81.56521739130434,57.47826086956522,73.6086956521739
1,Belgium,74.26086956521739,70.65217391304348,75.6086956521739,77.91304347826087,59.26086956521739,71.82608695652173
2,Brazil,73.91304347826087,67.73913043478261,75.26086956521739,78.21739130434783,70.47826086956522,77.0
3,England,77.91304347826087,68.3913043478261,77.73913043478261,80.17391304347827,65.52173913043478,73.26086956521739
4,France,81.04347826086956,69.34782608695652,75.34782608695652,80.0,63.0,76.34782608695652
5,Germany,71.30434782608695,73.52173913043478,78.30434782608695,78.21739130434783,65.1304347826087,74.56521739130434
6,Italy,73.69565217391305,64.52173913043478,71.95652173913044,76.6086956521739,68.43478260869566,72.95652173913044
7,Netherlands,73.26086956521739,69.26086956521739,73.21739130434783,76.0,65.52173913043478,77.78260869565217
8,Portugal,72.52173913043478,72.17391304347827,76.73913043478261,80.04347826086956,64.17391304347827,72.52173913043478
9,Spain,72.04347826086956,71.34782608695652,80.04347826086956,80.78260869565217,68.56521739130434,71.47826086956522
